Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","90.057377","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2010","2010","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","90.537416","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","91.237473","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","91.937531","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","92.487576","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","93.097626","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","93.297642","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","93.02762","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","92.697593","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","92.377567","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","92.187551","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","92.777599","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","93.157631","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2011","2011","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","93.377649","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","93.717676","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","94.317726","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","94.707758","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","94.777763","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","94.957778","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","94.927776","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","95.477821","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","95.967861","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","97.097953","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","97.377976","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","97.407979","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2012","2012","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","97.998027","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","99.318135","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","99.648162","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","99.688166","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","99.788174","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","100.018193","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","100.028193","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","99.688166","X","Figure from international organizations","base year is 2015"
